Content,Version
Speaker Calibration Tool for Windows 11 (64-bit) - ThinkPad,1.1.1.3
Speaker Calibration Tool,1.1.1.3
README,1.1.1.3
"Intel SoundWire Audio Driver for Windows 11 (Version 23H2 or later) - ThinkPad X1 Carbon 13th Gen (Type 21NS, 21NT), X1 2-in-1 Gen 10 (Type 21NU, 21NV)",20.42.12134.0
Intel SoundWire Audio Driver,20.42.12134.0
README,20.42.12134.0
"Intel BE201 Bluetooth Driver for Windows 11 (Version 23H2 or later) - ThinkPad X1 Carbon 13th Gen (Type 21NS, 21NT), X1 2-in-1 Gen 10 (Type 21NU, 21NV), X9-14 Gen 1 (Type 21QA, 21QB)",23.140.0.5
Intel BE201 Bluetooth Driver,23.140.0.5
README,23.140.0.5
ThinkPad Monitor File for Windows 11 (Version 22H2 or Later) - ThinkPad,6.14.26.0
ThinkPad Monitor File SW,6.14.26.0
README,6.14.26.0
"Intel Graphics Driver for Windows 11 (Version 23H2 or later) - ThinkPad X1 Carbon 13th Gen (Type 21NS, 21NT), X1 2-in-1 Gen 10 (Type 21NU, 21NV)",32.0.101.6326
Intel Graphics Driver,32.0.101.6326
README,32.0.101.6326
"ThinkPad Monitor File for Windows 11 (Version 23H2 or later) - ThinkPad X1 2 in 1 Gen 10 (Type 21NU, 21NV), X1 Carbon 13th Gen (Type 21NS, 21NT)",6.14.24.0
ThinkPad Monitor File,6.14.24.0
README,6.14.24.0
"Firmware - ThinkPad Universal Thunderbolt 4 Dock (40B0), ThinkPad Thunderbolt 4 WorkStation Dock (40B0)",V1.0.18
Firmware,V1.0.18
ReadMe for Firmware,V1.0.18
Readme for Driver,V1.0.18
"System Firmware Update Utility for Windows 11 - ThinkPad X1 Carbon 13th Gen (Type 21NS, 21NT), X1 2-in-1 Gen 10 (Type 21NU, 21NV)",1.16
System Firmware Update Utility,1.16
README,1.14
System Firmware Update CD,1.16
README,1.16
Lenovo MEP Opt-in Driver for Windows 11 (Version 23H2 or later) - ThinkPad,1.0.16.5
Lenovo MEP Opt-in Driver,1.0.16.5
README,1.0.16.5
"Integrated Camera Driver for Windows 11 (Version 23H2 or later) - ThinkPad X1 2 in 1 Gen 10 (Type 21NU, 21NV), X1 Carbon 13th Gen (Type 21NS, 21NT)",10.0.22000.20370 (Realtek)  5.0.18.270 (Sunplus)
Integrated Camera Driver,10.0.22000.20370 (Realtek)  5.0.18.270 (Sunplus)
README,10.0.22000.20370 (Realtek)  5.0.18.270 (Sunplus)
Windows Studio Effects (MEP) Pack for AMD/Intel for Windows 11 (Version 23H2 or later) - ThinkPad,1.0.0
Windows Studio Effects (MEP) Pack for AMD/Intel,1.0.0
README,1.0.0
Lenovo View Driver for Windows 11 (Version 23H2 or later) - ThinkPad,4.0.7.516
Lenovo View Driver,4.0.7.516
README,4.0.7.516
"Intel MIPI Camera Driver for Windows 11 (Version 23H2 or later) - ThinkPad X1 2 in 1 Gen 10 (Type 21NU, 21NV), X1 Carbon 13th Gen (Type 21NS, 21NT)",70.26100.2.18082
Intel MIPI Camera Driver,70.26100.2.18082
README,70.26100.2.18082
"Lenovo Diagnostics for Windows - Desktops, Notebooks, Workstations",1.7.3
Lenovo Diagnostics for Windows ARM,1.7.3
Release Notes for Windows ARM,1.7.3
User Guide for Windows ARM,1.7.3
Lenovo Diagnostics for Windows,5.23.2
Release Notes,5.23.2
User Guide,5.23.2
"Lenovo Linux Diagnostics - Bootable USB (Create it on Windows OS) - Desktops, Notebooks, Workstations",2.1.1
Lenovo Bootable Generator,2.1.1
Lenovo Linux Diagnostics - Bootable CD,4.63.1
Release Note,4.63.1
User Guide,4.63.1
"Lenovo UEFI Diagnostics - Bootable USB (Create it on Windows OS) - Desktops, Notebooks, Workstations",2.1.1
Lenovo Bootable Generator,2.1.1
Lenovo Diagnostics UEFI (x64),4.43.000
Lenovo Diagnostics UEFI (ARM),04.43.000
Release Notes,4.43.000
User Guide for x64,4.43.000
User Guide for ARM,4.43.000
"Lenovo Solution Center Lite for Windows 11 (64-bit), 10 (64-bit), 7 (64-bit) - Desktops, Notebooks, Workstations",-
"Lenovo Solution Center for Windows 7 (32-bit) - Desktops, Notebooks, Workstations",-
"Windows Utility To Read and Write Asset ID Information for Windows 11 (64-bit), 10 (64-bit), 8.1 (64-bit), 8 (64-bit), 7 (32-bit, 64-bit) - ThinkPad",1.02
Windows Utility To Read and Write Asset ID Information,1.02
README for Utility To Read and Write Asset ID Information,1.02
